date,Name,vx,vx_s,vy,vy_s,vz,vz_s,x,x_s,y,y_s,z,z_s
 A.D. 2000-Jan-01 00:00:00.0000,222861,-0.0077060718,1.61795015E-09,-0.0022803904,4.55878697E-09,-0.0004221412,1.34007603E-09,-1.7672263237999999,0.00000298,4.4747530965,0.00000103,0.4853680011,9.86626711E-07
 A.D. 2000-Jan-01 00:00:00.0000,223251,-0.0077464189000000004,8.32796576E-10,2.11958328987776e-05,3.71492915E-09,0.0011885779,0.000000001,-0.3132927208,2.31951617E-06,4.9592965019,5.27892425E-07,0.0213947915,0.00000078
 A.D. 2000-Jan-01 00:00:00.0000,225214,-0.0069033184,4.33020259E-09,-0.0038431665,7.22312292E-09,-0.0002625194,1.60303143E-09,-2.7950409564,4.77810343E-06,4.0416085147,2.82377581E-06,-0.5539578221,1.02967555E-06
 A.D. 2000-Jan-01 00:00:00.0000,225222,-0.0072052928000000014,1.2832374E-09,-0.0025163621,3.59008677E-09,-0.0008208696000000001,1.35772548E-09,-2.0374142386000003,2.38008046E-06,4.6443309283,1.10028237E-06,-0.1095797311,9.74403335E-07
 A.D. 2000-Jan-01 00:00:00.0000,225227,-0.0069432376,2.66823159E-09,-0.0037688005,4.79346228E-09,-0.0003537725,0.000000001,-2.6186148633,3.14108532E-06,4.153534529,1.78683064E-06,-0.5285535859,7.48860608E-07
 A.D. 2000-Jan-01 00:00:00.0000,225359,-0.0081226908,1.32325176E-09,0.001213465,5.27932857E-09,0.000562349,1.26043669E-09,0.8027699898999999,3.21240823E-06,4.6190299993,6.62155684E-07,0.5126891691,9.82210128E-07
 A.D. 2000-Jan-01 00:00:00.0000,226067,-0.0069494833,1.80746312E-09,-0.0035585504,3.8841891E-09,-0.00012816,1.15325159E-09,-2.2461172618000003,2.56092965E-06,4.441743124599999,1.36386286E-06,0.6548284839999999,9.50544831E-07
 A.D. 2000-Jan-01 00:00:00.0000,228005,-0.0069388655,1.46048048E-09,-0.0025412796,4.39223288E-09,-0.0003269406,1.16835556E-09,-1.8997058696,3.11990666E-06,4.925841377099999,1.28466954E-06,0.5648921379,1.11491922E-06
 A.D. 2000-Jan-01 00:00:00.0000,228007,-0.006234231,2.38638562E-09,-0.0044265417,3.25390074E-09,0.0003410529,0.000000001,-3.3163089789,2.18860138E-06,3.8739335045999996,1.67230097E-06,-0.5891305432,9.35416927E-07
 A.D. 2000-Jan-01 00:00:00.0000,228097,-0.006391239599999999,3.5239977E-09,-0.0040111374,5.63591691E-09,-0.0007677059,1.44338884E-09,-3.1366212736000003,3.83473156E-06,4.1233035546,0.000002662,-0.2131677007,1.14578612E-06
